"Group","Source","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Genus","Groups",7,0.17100284576357,0.0244289779662242,1.84387861315569,0.0963693094879106
"Genus","Residuals",57,0.755175386351319,0.0132486909886196,NA,NA
"Species","Groups",8,0.178571526522187,0.0223214408152734,1.76390625605049,0.103950659568792
"Species","Residuals",56,0.708654828660881,0.0126545505118014,NA,NA
"Diet","Groups",5,0.22877653868953,0.045755307737906,4.16265298691222,0.0026326054940516
"Diet","Residuals",59,0.648519865822142,0.0109918621325787,NA,NA
"Locomotion","Groups",2,0.0630083817458078,0.0315041908729039,2.04685455812621,0.13777756570445
"Locomotion","Residuals",62,0.954273876649128,0.0153915141395021,NA,NA
