"pairs","F.Model","R2","p.value","p.adjusted","sig"
"Ar vs Sc",1.5266,0.0484,0.1976,0.2964,""
"Ar vs Te",0.3075,0.0054,0.8145,0.8145,""
"Sc vs Te",2.3486,0.0597,0.0731,0.2193,""
