ORDER,GENUS,SPECIES,DIET,LOCOMOTION,UA_ID,UA_Area_ha,Mean_Elevation_m,Mean_Pop_Density,Species_Code,CA_Forest,CA_Herbaceous,CA_Agropecuaria,CA_Water,CA_Non_Vegetated,ED_Forest,ED_Herbaceous,ED_Agropecuaria,ED_Water,ED_Non_Vegetated,LPI_Forest,LPI_Herbaceous,LPI_Agropecuaria,LPI_Water,LPI_Non_Vegetated,NP_Forest,NP_Herbaceous,NP_Agropecuaria,NP_Water,NP_Non_Vegetated,PD_Forest,PD_Herbaceous,PD_Agropecuaria,PD_Water,PD_Non_Vegetated,PLAND_Forest,PLAND_Herbaceous,PLAND_Agropecuaria,PLAND_Water,PLAND_Non_Vegetated,PROX_MN_Agropecuaria,PROX_MN_Forest,PROX_MN_Herbaceous,PROX_MN_Non_Vegetated,PROX_MN_Water
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,9,34057,29.94,40.3,A_guariba,1885.823882,1065.918208,30411.74282,292.6630437,388.1077406,5.884286274,9.723618833,18.04139064,2.488856012,2.645582617,3.355561819,0.39399591,88.92883486,0.156219079,0.194299353,198,345,40,66,72,0.581595914,1.01338682,0.117494124,0.193865305,0.211489423,5.539330627,3.130978153,89.33002705,0.859654699,1.140009475,2071.811885,20.24685,9.948335362,9.634070833,1.377078788
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,2,13630,817.42,127.4,B_arachnoides,13272.93766,2.245757573,202.7306609,2.654077132,NA,5.391918271,0.097173033,5.29000509,0.123243846,NA,98.4385767,0.009844085,0.172650103,0.014387509,NA,5,2,81,2,NA,0.037090425,0.01483617,0.600864883,0.01483617,NA,98.45977934,0.01665922,1.503873269,0.01968817,NA,5.131298765,22389.36334,1.50E-04,NA,0.04435
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,3,9200,781.18,113.2,B_arachnoides,6931.02035,2.449917352,2090.494061,0.816639117,56.96057845,34.28683242,0.168865992,35.34224487,0.049252581,1.336855768,73.13048658,0.016860184,10.04080165,0.008992098,0.359683928,78,4,88,1,7,0.858866106,0.044044416,0.968977146,0.011011104,0.077077727,76.31818539,0.026976295,23.01864736,0.008992098,0.627198849,392.6319807,5971.877153,0.372175,13.46731429,0
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,4,39439,883.37,270.73,B_arachnoides,29741.48626,986.2958942,7633.738311,19.49725893,924.0271614,41.91733522,6.85575669,48.1073503,0.149568322,5.931522003,71.18574078,0.131673947,2.204954265,0.02155609,0.255037113,314,219,989,10,339,0.798879637,0.557180384,2.516216437,0.025442027,0.862484704,75.66836865,2.509336644,19.42177736,0.049604978,2.350912368,117.6051524,23671.19866,9.596441096,8.175273746,0.4498
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,5,11400,728.41,158.74,B_arachnoides,9520.889231,NA,1750.976348,4.389435257,64.61657017,20.81939484,NA,22.26182111,0.225379105,1.419888362,80.08515005,NA,10.77697168,0.010801275,0.35644206,72,NA,61,6,14,0.634871839,NA,0.53787753,0.052905987,0.123447302,83.95200634,NA,15.43952186,0.038704567,0.569767233,487.1779557,7109.9357,NA,1.339992857,0.18735
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,6,18100,476.93,1110.43,B_arachnoides,15072.70819,244.9917352,2657.956168,25.51997242,3.879035808,24.82168528,3.444301625,26.08335373,0.358448701,0.099371917,82.18865871,0.212039777,9.686362554,0.085042691,0.012472928,81,45,217,5,4,0.449873658,0.24992981,1.205217084,0.027769979,0.022215983,83.71375764,1.360683063,14.76227733,0.141737819,0.021544148,416.6812638,15067.9365,11.68102889,0.002925,0.94028
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,7,15949,1001.72,123.07,B_arachnoides,12855.12467,48.69210738,2868.4449,6.124793381,51.65242418,25.0351312,1.21905992,25.55383716,0.151373334,1.073741519,78.78832823,0.045784298,10.90891504,0.027083669,0.074157666,85,33,171,5,23,0.536953829,0.208464428,1.080224762,0.031585519,0.145293389,81.20715783,0.3075931,18.12026439,0.038690956,0.326293729,471.6114247,10225.73117,1.360366667,5.5076,0.05468
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,8,11024,518.17,219.2,B_arachnoides,2231.772628,26.7449311,8632.590031,24.49917352,37.46331952,42.53547857,1.411820849,44.84573086,0.653404691,1.102620415,3.356974436,0.057782458,77.9084614,0.10158529,0.066170235,328,25,18,7,33,2.994594187,0.228246508,0.164337486,0.063909022,0.301285391,20.37577237,0.244177485,78.81434123,0.223674032,0.342034875,11336.95266,64.48606524,0.870984,1.943606061,0.2595
Primatas,Brachyteles,B_arachnoides,Fr/Fo,Ar,9,41745,710.18,56.73,B_arachnoides,28714.05217,1361.745728,11611.07705,0.408319559,NA,38.54553207,8.294957421,42.60065724,0.007664194,NA,66.54284378,0.366816119,6.294398096,9.79E-04,NA,327,237,602,1,NA,0.784411874,0.568518698,1.444085469,0.002398813,NA,68.87964366,3.266573453,27.8528034,9.79E-04,NA,728.6351264,22001.46853,17.75243544,NA,0
Pilosa,Bradypus,B_crinitus,Fo,Ar,1,74100,302.37,65.12,B_crinitus,26400.00315,1193.51807,45750.87952,187.5207574,442.9246414,34.03610062,5.042897162,41.05322551,1.357470519,1.656779163,13.84742975,0.3838957,57.9180213,0.054231132,0.09852679,933,328,387,111,113,1.261239528,0.44339396,0.523150801,0.150051005,0.152754627,35.68781083,1.613410683,61.84653556,0.253492595,0.598750338,37874.77715,2592.636969,24.13086067,5.161570796,2.376140541
Pilosa,Bradypus,B_crinitus,Fo,Ar,2,85798,1189.43,123.07,B_crinitus,46209.52446,1501.799337,37893.68833,22.15133606,64.20825061,41.85826762,5.29259178,45.15350722,0.156223738,0.219235221,37.79063534,0.097682541,15.34056661,0.002501626,0.022276384,1053,397,843,29,23,1.228828503,0.463290518,0.983762989,0.03384238,0.026840509,53.92552778,1.75256774,44.22112468,0.025850136,0.074929657,4673.101768,10378.25428,11.09413829,3.145608696,0.273503448
Pilosa,Bradypus,B_crinitus,Fo,Ar,3,23200,161.9,329.43,B_crinitus,18501.36753,134.5412946,3854.128315,14.18910467,575.3222583,35.27021611,1.654286375,39.21143227,0.163352127,6.235067642,73.01906737,0.122515956,2.923133401,0.036710557,0.076517185,166,39,553,7,256,0.719251505,0.168980775,2.396060738,0.030329883,1.109207141,80.16347255,0.582945956,16.69932285,0.061479126,2.49277952,79.57124938,9711.195153,2.510541026,5.567501953,0.0297
Pilosa,Bradypus,B_crinitus,Fo,Ar,4,46443,422.3,50,B_crinitus,30947.96848,215.3885672,14631.21267,10.20798897,515.2992831,47.71997572,1.276754044,50.68251414,0.107603258,2.974264419,46.24176057,0.085066433,16.96943118,0.004848346,0.136635204,610,72,638,11,154,1.316923545,0.155440156,1.377372495,0.023747802,0.332469223,66.8132924,0.465000452,31.5871942,0.022037936,1.112475014,2469.416409,6083.232479,5.594523611,7.701401948,0.440081818
Pilosa,Bradypus,B_crinitus,Fo,Ar,5,73000,702.01,192.47,B_crinitus,24182.52171,253.3622862,46847.83001,1096.848415,425.3669003,34.80504887,1.712342403,39.16708974,1.888316084,1.378387362,6.978723404,0.056784325,62.35255354,0.633040064,0.118756353,1049,129,317,88,111,1.440816716,0.177183371,0.435404098,0.120869276,0.15246011,33.21504434,0.347996775,64.34617407,1.506537208,0.584247608,30882.87382,1055.873644,5.639765116,12.59547748,17.64348068
Primatas,Brachyteles,B_hypoxantus,Fr/Fo,Ar,1,4200,754.87,107.15,B_hypoxantus,1077.861555,NA,3072.60468,5.001914595,NA,29.13229797,NA,29.83965385,0.707355876,NA,11.16979463,NA,73.50152304,0.054043431,NA,63,NA,15,5,NA,1.516074669,NA,0.360970159,0.120323386,NA,25.93839049,NA,73.94124005,0.120369461,NA,4191.789047,129.2624159,NA,NA,0.7249
Primatas,Brachyteles,B_hypoxantus,Fr/Fo,Ar,2,9500,67.36,215.72,B_hypoxantus,8883.09408,43.5881129,501.2122584,NA,3.674876029,13.43503631,1.768302812,12.6016982,NA,0.149052344,92.64021473,0.076844817,2.442799316,NA,0.020564106,11,28,95,NA,2,0.116629583,0.296875303,1.007255492,NA,0.021205379,94.18468732,0.462151222,5.314197892,NA,0.038963569,34.90880737,10221.84794,1.536282143,0.2951,NA
Carnivora,Leopardus,L_wiedii,Ca,Sc,1,96149,658.05,127.4,L_wiedii,86488.30942,19.8034986,7861.988944,110.2462809,640.5513078,19.88018746,0.101438096,20.3749501,0.453784332,1.25689191,90.544285,0.003863374,0.948565615,0.015131548,0.060955455,175,15,1166,176,105,0.183976393,0.015769405,1.225808426,0.185027687,0.110385836,90.9246127,0.020819293,8.265259254,0.115901218,0.673407539,85.07686127,112620.4534,0.086446667,10.05748667,0.825981818
Carnivora,Leopardus,L_wiedii,Ca,Sc,2,64100,660.18,123.07,L_wiedii,26739.11254,45.11931124,34188.90289,1204.440618,1377.466031,38.38213525,0.389602552,43.66464314,3.518990789,3.098220033,33.85539053,0.01060069,16.89910553,0.226951129,0.446995748,1075,41,604,146,183,1.69144725,0.064511011,0.950357339,0.229722138,0.287939392,42.07237059,0.070992498,53.79416352,1.895114206,2.167359192,3700.1155,6518.120814,0.642002439,21.39364208,10.70319521
Carnivora,Leopardus,L_wiedii,Ca,Sc,3,39733,4.3,80.35,L_wiedii,1677.478827,15434.47932,17180.55583,1017.83858,4352.788576,8.74808141,86.86619291,72.35291641,4.917775047,22.89806281,0.787286064,15.88675846,16.20743791,0.428773646,0.964354652,281,1103,1130,211,617,0.708466329,2.780919434,2.848992711,0.531980055,1.555600445,4.229314117,38.91391069,43.31617552,2.566207695,10.97439197,1028.320209,21.68998185,3777.28368,57.04805024,12.67565355
Carnivora,Leopardus,L_wiedii,Ca,Sc,4,170600,608.58,410.27,L_wiedii,104468.5591,3017.277379,58019.96354,256.7309226,4228.251111,45.9498934,4.418540907,52.4719823,0.50615214,5.970264661,49.3994975,0.076083667,15.84077556,0.028523869,0.119139696,2098,569,2989,130,1423,1.234184568,0.334724032,1.758330636,0.076474735,0.837104214,61.4554259,1.774965291,34.13124102,0.151026379,2.487341407,3803.229521,41394.81216,11.16434833,8.207945046,1.835714615
Carnivora,Leopardus,L_wiedii,Ca,Sc,5,7121,200.82,158.99,L_wiedii,5217.507322,4.899834705,1254.868084,5.410234153,558.9894759,45.70840521,0.317608533,46.15305715,0.403816564,12.29145024,45.41619553,0.060885448,2.165782378,0.023194457,1.184366936,69,2,261,29,94,0.979880504,0.028402333,3.706504515,0.411833835,1.334909672,74.09469137,0.06958337,17.82059088,0.076831637,7.938302746,28.84133664,2491.203328,0.36925,16.99001596,0.182675862
Carnivora,Leopardus,L_wiedii,Ca,Sc,6,104409,441.67,48.52,L_wiedii,44774.79161,2072.017601,57185.46044,154.7531128,76.45783738,37.97583381,5.422974073,41.89911669,0.884063977,0.182941488,30.32961912,0.129920863,36.82664132,0.018014649,0.0188958,1435,412,864,103,16,1.376320828,0.39515274,0.828669823,0.098788185,0.015345737,42.94388731,1.987289882,54.8470664,0.14842504,0.073331369,15479.54259,7403.082312,12.29120898,4.2991375,4.121103883
Pilosa,Myrmecophaga,M_tridactyla,Myr,Te,1,38500,536.73,51.91,M_tridactyla,20937.19785,78.80567484,15280.54285,811.1268035,1060.814214,30.19251207,0.923295373,35.79087966,3.843855261,3.739220699,48.69138933,0.018988628,27.49740578,0.364260727,0.744300737,473,62,350,84,112,1.239242192,0.162437666,0.916986823,0.220076838,0.293435783,54.85467013,0.206467901,40.03444698,2.125121688,2.779293302,3582.304339,5343.734789,1.455519355,28.28378482,12.38052738
Pilosa,Myrmecophaga,M_tridactyla,Myr,Te,2,45241,352.14,41.04,M_tridactyla,16560.21634,NA,27456.53001,351.3589803,641.8783463,54.17224574,NA,58.1764603,2.461729496,3.96588313,20.11389589,NA,40.33120979,0.254916324,0.239947928,1098,NA,384,72,327,2.439458783,NA,0.853144055,0.15996451,0.726505484,36.79231804,NA,61.00097748,0.780624545,1.426079936,12325.17759,1984.494864,NA,5.779431498,22.77553611
Pilosa,Myrmecophaga,M_tridactyla,Myr,Te,3,33800,483.58,32.79,M_tridactyla,9791.094699,2.245757573,23597.91018,124.1291459,41.34235532,47.58588236,0.039988937,48.79507163,1.331060316,0.418931716,4.245125179,0.003954613,68.09387643,0.090956104,0.034983117,706,2,125,62,18,2.103900366,0.005960058,0.372503606,0.184761789,0.053640519,29.17774465,0.006692422,70.32245308,0.369908435,0.123201411,16240.17041,216.8701316,0.00115,0.492344444,5.90845
Pilosa,Myrmecophaga,M_tridactyla,Myr,Te,4,14219,494.16,449.83,M_tridactyla,3831.874899,51.34618451,10021.89733,102.9986087,89.52406326,44.64221961,1.561503163,49.27686978,2.65614181,1.364332227,3.898511267,0.055755083,70.0291085,0.260673116,0.13830157,297,26,51,86,18,2.106735433,0.184428018,0.36176265,0.610031136,0.127680935,27.18096507,0.36421827,71.08917917,0.730608817,0.635028674,10575.88823,142.9013845,1.600726923,5.748383333,2.159838372
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,1,51000,445.24,550.28,Mazama,13701.57111,5.614393933,36618.30219,225.5965562,117.5960329,46.59566955,0.056750934,48.43944434,1.669738588,0.722628558,3.052806112,0.002619051,70.76675739,0.107582556,0.055000071,1082,6,162,111,37,2.135441448,0.011841635,0.319724135,0.219070241,0.073023414,27.04149987,0.0110806,72.27009265,0.445238666,0.23208821,32058.60124,209.7607275,1.191616667,2.643297297,7.750991892
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,1,51000,445.24,550.28,Mazama,27273.29661,259.1808399,33057.4494,699.553484,241.1126994,37.5513368,2.005354998,41.43898384,1.733266438,0.943482659,24.47853158,0.067189919,49.2216753,0.647345832,0.140518175,757,121,453,77,57,1.230282308,0.196650144,0.736219135,0.125141001,0.092636845,44.3247745,0.421222724,53.72522475,1.136919782,0.391858241,32058.60124,209.7607275,1.191616667,2.643297297,7.750991892
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,2,1910,478.04,123.07,Mazama,221.7175204,NA,1622.559847,58.3896969,4.695674926,32.59715051,NA,36.01432353,7.889649481,0.82079156,2.997056462,NA,75.9058068,1.450361252,0.133797164,69,NA,8,9,3,3.617560446,NA,0.419427298,0.47185571,0.157285237,11.62429756,NA,85.06823655,3.061279101,0.246186781,1431.843175,6.92043913,NA,2.165333333,5.578833333
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,3,12310,746.38,123.07,Mazama,3353.630616,42.15899444,8645.145858,86.35958667,80.43895307,44.72775504,1.504883508,49.19006179,2.669532484,1.340000619,4.502048666,0.064386654,69.98829334,0.205702818,0.159712351,266,19,44,79,16,2.178946558,0.15563904,0.36042725,0.647130745,0.131064455,27.47136048,0.345346601,70.81695794,0.707417008,0.65891797,9830.0066,162.2164068,1.326847368,6.37946875,2.177520253
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,4,35100,715.35,127.4,Mazama,10282.71145,0.918719007,24246.62788,84.72630844,284.8028922,55.6756337,0.010070244,57.59996581,0.725973058,2.079963164,7.230166693,0.002632449,68.42991983,0.179006514,0.143322209,1069,1,137,22,88,3.063055922,0.002865347,0.392552536,0.063037634,0.252150534,29.4635362,0.002632449,69.47500197,0.242770272,0.816059107,18020.12737,229.2460829,0,5.016856818,0.451554545
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,5,6200,509.1,48.95,Mazama,1157.279709,NA,4558.275394,51.95866385,359.014972,35.84801798,NA,46.65874554,1.668805027,10.52911672,4.330439709,NA,67.60584501,0.809770565,0.821433927,153,NA,46,9,96,2.497335873,NA,0.750833008,0.14690211,1.566955842,18.88964793,NA,74.4022527,0.84809304,5.860006332,2453.730892,47.37287386,NA,7.226360417,12.43875556
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,6,6910,148.74,211.4,Mazama,742.0187181,NA,5143.907721,711.2926713,268.5721898,27.74880643,NA,43.63119387,17.02249437,4.08111743,1.446646545,NA,50.6608781,2.100834089,3.13861342,180,NA,46,51,34,2.621693438,NA,0.669988323,0.742813141,0.495208761,10.80747558,NA,74.92082844,10.35995183,3.911744153,1689.415796,13.14042111,NA,4.265420588,18.84573137
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,7,36000,830.35,123.07,Mazama,20104.32803,31.95100547,14483.70723,256.9350823,852.8774783,38.02896312,0.472142883,42.07794603,1.55681962,3.552696353,49.9322892,0.018856173,30.05959694,0.251987041,0.795101966,437,26,421,55,100,1.223068739,0.072768392,1.17828819,0.153933136,0.27987843,56.26767766,0.089423972,40.53677239,0.719105875,2.387020096,3305.572171,8840.859665,0.926711538,26.437531,5.240943636
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,8,36700,489.1,116.97,Mazama,34664.39102,7.043512388,1516.090522,21.13053717,78.49943517,11.45058124,0.085406104,11.54743353,0.224521201,0.498349018,95.42137629,0.010127209,0.498483732,0.0247554,0.054011781,31,5,337,17,21,0.085429679,0.01377898,0.928703283,0.046848534,0.057871718,95.52799329,0.019410484,4.178036334,0.058231452,0.216328437,25.97557596,48573.82151,4.00E-04,5.395838095,0.076411765
Artiodactyla,Mazama,Mazama,Hb/Fr,Te,9,44330,544.54,51.91,Mazama,39396.30431,13.98494489,4616.869251,41.03611565,306.9542283,26.34970511,0.152639219,27.1143412,0.425517822,1.564551991,88.42262658,0.006671114,2.033309563,0.008281383,0.103517287,83,11,724,117,64,0.187041626,0.024788649,1.631543823,0.263661087,0.144224868,88.78010628,0.031515263,10.4041775,0.092475443,0.691725518,87.70381547,50850.6046,0.569154545,6.035175,0.543426496
Carnivora,Puma,P_concolor,Ca,Te,1,32100,598.42,114.55,P_concolor,11453.15946,0.918719007,19952.12692,308.0771071,176.1898896,49.18956128,0.022041027,51.37162296,3.261070145,1.529847653,13.54899218,0.002880857,41.77851329,0.372270788,0.075542481,726,1,146,62,66,2.276542027,0.003135733,0.457816992,0.194415435,0.206958366,35.91404802,0.002880857,62.56453921,0.966047496,0.552484419,9366.098911,764.9746853,0,2.484625758,28.17662742
Carnivora,Puma,P_concolor,Ca,Te,1,32100,598.42,114.55,P_concolor,9875.004369,26.23453165,21309.27905,87.0741459,59.71673547,47.1587405,0.405521967,48.10020356,0.90478268,0.650057826,6.52670712,0.016927965,66.31953487,0.054039273,0.037436846,583,21,125,38,26,1.859215672,0.066970033,0.398631147,0.121183869,0.082915279,31.49187458,0.083663212,67.95633887,0.277683734,0.190439606,9366.098911,764.9746853,0,2.484625758,28.17662742
Carnivora,Puma,P_concolor,Ca,Te,1,32100,598.42,114.55,P_concolor,31043.82149,2807.299046,37807.73706,1060.201734,2128.26362,35.36816647,3.397871041,39.74313887,2.787876353,4.106472288,31.37367486,3.363778823,18.72977252,0.192710812,0.379557106,1167,101,651,123,287,1.559174001,0.134941366,0.869770587,0.164334535,0.383447248,41.47619483,3.750700674,50.51314539,1.416485844,2.843473268,9366.098911,764.9746853,0,2.484625758,28.17662742
Carnivora,Puma,P_concolor,Ca,Te,1,32100,598.42,114.55,P_concolor,8020.519013,0.918719007,20431.08576,72.06840212,61.75833326,47.82373847,0.0156473,49.08334616,0.960073649,0.681775234,4.983234478,0.003213838,69.4067612,0.034638033,0.097486422,642,1,84,52,21,2.245827099,0.003498173,0.293846536,0.181904999,0.073461634,28.05716347,0.003213838,71.47147362,0.252107742,0.216041337,9366.098911,764.9746853,0,2.484625758,28.17662742
