"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"78",2023,981,"cls_3",0.1021,1,22449.8382,63.9,"Pasture"
"79",2023,983,"cls_3",0.7146,1.0631,9991.49,63.9,"Pasture"
"80",2023,984,"cls_3",0.2042,1.0155,23584.7686,63.9,"Pasture"
"81",2023,986,"cls_3",7.7581,1.064,83458.471,63.9,"Pasture"
"82",2023,990,"cls_3",0.1021,1,8198.6839,63.9,"Pasture"
"83",2023,991,"cls_3",3331.491,1.2711,38325.0195,63.9,"Pasture"
"84",2023,992,"cls_3",1.225,1.0556,22442.2211,63.9,"Pasture"
"85",2023,995,"cls_3",4160.8931,1.2592,125049.7316,63.9,"Pasture"
"86",2023,996,"cls_3",0.8166,1.0131,167.6315,63.9,"Pasture"
"87",2023,999,"cls_3",0.2042,1.0155,181.7178,63.9,"Pasture"
"88",2023,1001,"cls_3",7.1456,1.1215,8190.4217,63.9,"Pasture"
"89",2023,1005,"cls_3",0.9187,1.112,480.1374,95.85,"Pasture"
"90",2023,1012,"cls_3",0.1021,1,684.5674,95.85,"Pasture"
"91",2023,1013,"cls_3",0.1021,1,1158.1802,95.85,"Pasture"
"92",2023,1019,"cls_3",552.4583,1.1609,23704.8312,63.9,"Pasture"
"93",2023,1029,"cls_3",12.8621,1.1361,778.4547,90.3682,"Pasture"
"94",2023,1030,"cls_3",1.4291,1.0987,1549.9621,127.8,"Pasture"
"95",2023,1032,"cls_3",0.9187,1.1328,16373.1442,63.9,"Pasture"
"96",2023,1037,"cls_3",0.1021,1,187.5525,101.0348,"Pasture"
"97",2023,1041,"cls_3",0.4083,1.1346,174.6317,101.0348,"Pasture"
"98",2023,1045,"cls_3",0.4083,1.1346,80.1398,71.4424,"Pasture"
"99",2023,1046,"cls_3",0.7146,1.1197,9015.1216,101.0348,"Pasture"
"100",2023,1055,"cls_3",0.1021,1,8180.4775,63.9,"Pasture"
"101",2023,1056,"cls_3",1.7354,1.059,13627.3452,63.9,"Pasture"
"102",2023,1057,"cls_3",0.7146,1.0283,15965.4595,63.9,"Pasture"
