"","YEAR","CLASS_NAME","min_AREA","max_AREA","mean_AREA","sd_AREA","median_AREA","min_FRAC","max_FRAC","mean_FRAC","sd_FRAC","median_FRAC","min_PROX","max_PROX","mean_PROX","sd_PROX","median_PROX","min_ENN","max_ENN","mean_ENN","sd_ENN","median_ENN"
"1",1990,"Agriculture",0.1021,6689.0125,12.310425380609,137.707745873397,1.1229,1,1.3574,1.09331343149038,0.0598640586852543,1.0914,0,24142.697,608.289497516026,2119.054247239,21.6984,63.9,103662.0396,164.782047906651,1266.79824326155,71.4424
"2",1990,"Forest",0.1021,88409.5608,20.8911162401352,611.790035287456,1.327,1,1.3539,1.08264462117385,0.0512569558399868,1.0809,0.0223,295334.1086,3750.33085808261,17549.8067272375,42.183,63.9,5325.6922,146.640241826797,168.690571793283,90.3682
"3",1990,"Herbaceous and Shrubby Vegetation",0.1021,3302.194,6.00826874152515,58.0729110450231,0.9187,1,1.4208,1.09264095693162,0.0625706212355821,1.0914,7e-04,14612.257,328.389788028669,1141.84137684875,13.3878,63.9,19464.6574,228.408527868535,554.306628381338,71.4424
"4",1990,"Non vegetated area",0.1021,4313.6051,15.6002684177778,126.842669677277,1.0208,1,1.3372,1.07777982222222,0.0542129026040056,1.07505,0.006,29150.5265,373.1643516,1354.57741913575,22.8382,63.9,13753.6864,208.395737697778,592.846533414267,71.4424
"5",1990,"Pasture",0.1021,50085.9809,76.6612031787389,1211.46974750441,0.9187,1,1.4062,1.08565077007701,0.0630163475160954,1.0819,0.2799,415238.9463,13844.3964220601,27547.3624680836,1015.4743,63.9,4428.2746,101.212281266285,104.283508581192,71.4424
"6",1990,"Roads and Railroad",0.3062,28527.0404,2385.12203333333,8232.57897778141,3.4707,1.0358,1.5724,1.22904166666667,0.14796058724805,1.20595,7.7059,34932.1552,5014.69005833333,10570.4423333645,323.02035,90.3682,2225.06,889.422541666667,832.796540096055,618.6526
"7",1990,"Water",0.1021,24947.0861,8.75025539251651,288.849406022464,0.4083,1,1.3665,1.07029351919785,0.0677144011649252,1.0537,0.0026,61728.8067,381.250085522133,3528.52812332881,2.2636,63.9,10917.7409,299.591173628434,668.350143182918,71.4424
"8",2023,"Agriculture",0.1021,7937.0457,11.6684899058626,160.470110138756,1.0208,1,1.3326,1.0882859353155,0.055510188438461,1.088,0.0011,53327.4469,520.545400027962,2167.32468072867,11.623,63.9,14972.6918,250.388329946873,625.321553824518,90.3682
"9",2023,"Forest",0.1021,86613.3568,19.6472445816228,603.549227016186,1.225,1,1.3752,1.08521423720116,0.0515178143849734,1.0819,0.0586,310465.6651,3823.6542397081,17401.9211715907,41.06395,63.9,4601.0219,141.985007190292,148.361042365857,90.3682
"10",2023,"Herbaceous and Shrubby Vegetation",0.1021,7186.5517,7.06125851566475,97.3721635791586,0.9187,1,1.4079,1.0938797557607,0.0612795724504318,1.0932,4e-04,20586.7201,567.742525761431,2300.38740219378,12.4339,63.9,20276.045,243.991673271789,629.870092226107,71.4424
"11",2023,"Non vegetated area",0.1021,4146.1935,19.2003372901952,144.276823135987,1.1229,1,1.3407,1.07951540973646,0.053286447941354,1.0769,0.0101,32884.6979,399.067760226323,1491.7804496547,19.9479,63.9,10715.8319,213.70595617073,510.755527692033,71.4424
"12",2023,"Pasture",0.1021,47501.7173,63.7815000854236,1048.74365091593,1.0208,1,1.3907,1.08774077554296,0.0632996360139777,1.0869,0.148,349938.5046,10739.0416387202,23774.4417410242,439.5735,63.9,4442.4289,102.351296142994,107.974517670456,71.4424
"13",2023,"Roads and Railroad",0.3062,28527.0404,2385.12203333333,8232.57897778141,3.4707,1.0358,1.5724,1.22904166666667,0.14796058724805,1.20595,7.7059,34932.1552,5014.69005833333,10570.4423333645,323.02035,90.3682,2225.06,889.422541666667,832.796540096055,618.6526
"14",2023,"Water",0.1021,23146.6967,8.39671359642115,278.010484722268,0.4083,1,1.3574,1.06750713372743,0.0639908751789836,1.0537,0.003,56705.9367,257.812374420834,2682.80333716282,1.56255,63.9,8893.3558,329.432285604729,667.15398047285,95.85
